id,source_file,family,control_ref,actual_status,actual_risk,latency_seconds,violated_controls,audit_findings,mandated_remediation
BLIND-060,blind_060_pl_pl_8.json,PL,PL-8,NON_COMPLIANT,CRITICAL,6.6525,PL-8,"The architecture includes a temporary production bridge that connects an Internet-facing legacy service directly to the internal administration API without an authentication proxy, allowing public service tier requests to invoke administrator functions. This setup exposes sensitive resources directly to public access and lacks adequate authentication, indicating a major deficiency in the security architecture.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource; internet-exposed privileged interface with materially weak authentication.",Implement an authentication proxy for the bridge to restrict access to administrator functions and ensure that sensitive resources are not directly exposed to public access. Review and update the security architecture to align with PL-8 requirements.
BLIND-061,blind_061_pm_pm_9.json,PM,PM-9,COMPLIANT,LOW,6.3673,,"The organization has developed and approved a comprehensive risk management strategy that defines risk assumptions, tolerance, assessment methods, response options, review cadence, and executive ownership, which is referenced by system-level risk assessments and authorization reviews. This supports compliance with PM-9 without any identified deficiencies.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-062,blind_062_pm_pm_10.json,PM,PM-10,PARTIALLY_COMPLIANT,MODERATE,8.1791,PM-10,"The enterprise authorization process is in place, but one low-complexity internal subsystem is 30 days beyond its scheduled review date. Continuous monitoring remains active, indicating that oversight is still in effect, but the overdue review represents a bounded deficiency.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",The overdue review should be addressed promptly to ensure compliance with the authorization process requirements.
BLIND-063,blind_063_pm_pm_5.json,PM,PM-5,NON_COMPLIANT,HIGH,5.3211,PM-5,"The production analytics service processing sensitive benefit data is absent from the enterprise system inventory and has no registered business owner in the governance catalog, indicating a major deficiency in the system inventory control.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","The organization should ensure that all production services, including the analytics service, are documented in the system inventory and assign a registered business owner to maintain governance compliance."
BLIND-064,blind_064_pm_pm_5.json,PM,PM-5,NON_COMPLIANT,CRITICAL,5.9389,PM-5,"The Internet-accessible production service processing regulated applicant data is not present in the enterprise system inventory and has no assigned system owner. Additionally, its export endpoint allows anonymous download of daily applicant files through a public URL, indicating direct public sensitive resource exposure.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.","The organization should include the Internet-accessible production service in the system inventory and assign a system owner. Additionally, access controls should be implemented to restrict the export endpoint to authorized users only."
BLIND-065,blind_065_pm_pm_4.json,PM,PM-4,COMPLIANT,LOW,7.4757,,"The organization maintains a centralized POA&M process that includes risk descriptions, owners, milestones, dependencies, approval history, and closure evidence. Monthly governance meetings review aging items, and the sample reviewed contained no unowned or untracked findings, indicating effective management of the POA&M process.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-066,blind_066_ps_ps_3.json,PS,PS-3,COMPLIANT,LOW,6.2751,,"Personnel screening is completed before access to sensitive systems, with re-screening intervals based on position risk. The current privileged-user sample has completed screening records and no access was granted before the required determination.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-067,blind_067_ps_ps_5.json,PS,PS-5,PARTIALLY_COMPLIANT,MODERATE,6.0648,PS-5,"The user's privileged finance access was removed on the transfer date, which aligns with the requirement to modify access authorization. However, read-only access to a team file-share was retained for two additional days, which may indicate a deficiency in the ongoing operational need assessment for that access.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","Review the access permissions for the team file-share to ensure they align with the principle of least privilege and operational need, and consider removing any unnecessary access immediately upon transfer."
BLIND-068,blind_068_ps_ps_4.json,PS,PS-4,PARTIALLY_COMPLIANT,MODERATE,8.6539,PS-4,"A terminated platform engineer's production administrator account remained enabled for 24 hours after termination due to a failure in the HR feed. Although there was no sign-in by that identity after termination, the delay in disabling the account indicates a bounded deficiency in compliance with PS-4.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, ensure that the HR feed is functioning correctly to disable accounts immediately upon termination. Regular audits should be conducted to verify that access is revoked in a timely manner."
BLIND-069,blind_069_ps_ps_4.json,PS,PS-4,NON_COMPLIANT,CRITICAL,7.2103,PS-4,"A terminated administrator's account remained active for two hours post-termination, during which it authenticated to production and deleted centralized audit-log retention policies, indicating unauthorized privileged use.

Deterministic severity rule R4 was triggered by: actual unauthorized privileged use.","Immediate revocation of access for terminated personnel is required, along with a review of access control processes to ensure timely disabling of accounts upon termination."
BLIND-070,blind_070_ps_ps_2.json,PS,PS-2,PARTIALLY_COMPLIANT,MODERATE,7.5921,PS-2,"The annual review of three non-privileged clerical positions is 40 days overdue, indicating a bounded deficiency in compliance with PS-2. However, their duties and access have not changed since the last designation, and high-risk technical positions were reviewed on schedule.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Conduct the overdue annual review of the clerical positions to ensure compliance with PS-2.
BLIND-071,blind_071_pt_pt_2.json,PT,PT-2,COMPLIANT,LOW,6.7024,,"The system records the legal authority for each collected PII category and requires privacy-office approval before adding new data elements, which supports compliance with PT-2. No deficiencies are noted in the provided evidence.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-072,blind_072_pt_pt_5.json,PT,PT-5,PARTIALLY_COMPLIANT,MODERATE,6.7567,PT-5,"The privacy notice accurately describes the data collected, purpose, retention period, and user rights. However, it still lists the prior corporate name of an analytics processor, which indicates a deficiency in clarity and accuracy. A notice refresh is pending legal review, which constrains the deficiency but does not eliminate it.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Update the privacy notice to reflect the current corporate name of the analytics processor once the legal review is complete.
BLIND-073,blind_073_pt_pt_3.json,PT,PT-3,NON_COMPLIANT,HIGH,5.941,PT-3,"The organization has not documented the approved processing purposes for several derived data sets and has not established a review process to prevent new analytics uses from being added, indicating a significant deficiency in compliance with control PT-3.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",The organization should document the approved processing purposes for all derived data sets and establish a review process to ensure that new analytics uses are properly evaluated and authorized.
BLIND-074,blind_074_pt_pt_4.json,PT,PT-4,NON_COMPLIANT,CRITICAL,6.9343,PT-4,"The application collects optional disability and ethnicity information before displaying the consent screen, which violates the requirement to obtain consent prior to data collection. Additionally, sensitive data is transmitted immediately to a third-party analytics service without consent, indicating active plaintext transmission of sensitive data.

Deterministic severity rule R4 was triggered by: active plaintext transmission of sensitive data or credentials; actual sensitive-PII use/disclosure outside authorized purpose or effective consent.","To remediate this issue, the application should be updated to ensure that consent is obtained prior to the collection of any personally identifiable information, and sensitive data should not be transmitted to third parties without proper consent."
BLIND-075,blind_075_pt_pt_3.json,PT,PT-3,NON_COMPLIANT,CRITICAL,11.4041,PT-3|PT-3.1,"The original collection purpose for processing personally identifiable information (PII) is documented; however, there is no process to approve or record new secondary analytical purposes before access is granted. This indicates a significant gap in compliance with the requirements of PT-3, which mandates that processing purposes be documented and restricted to compatible uses. Additionally, the lack of data tagging as per PT-3.1 further exacerbates the deficiency.

Deterministic severity rule R4 was triggered by: actual sensitive-PII use/disclosure outside authorized purpose or effective consent.","Implement a formal process to approve and document any new secondary analytical purposes for accessing personally identifiable information. Additionally, establish data tagging mechanisms to ensure that the purposes for which PII is processed are clearly defined and communicated."
BLIND-076,blind_076_ra_ra_3.json,RA,RA-3,COMPLIANT,LOW,9.2302,,"The system's risk assessment identifies threat sources, vulnerabilities, likelihood, impact, existing controls, residual risk, and planned responses. It was updated after the latest architecture change and approved by the risk owner, affirmatively supporting the requirements of RA-3.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-077,blind_077_ra_ra_5.json,RA,RA-5,PARTIALLY_COMPLIANT,MODERATE,8.4785,RA-5,"Weekly authenticated scanning is conducted, and findings are tracked to closure. However, six medium-severity findings are overdue by 8 to 16 days, indicating a bounded deficiency in remediation timelines. No scanning coverage gap is present, and internet-facing severe findings are within target.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Remediation efforts should focus on addressing the overdue medium-severity findings to align with internal remediation targets.
BLIND-078,blind_078_ra_ra_2.json,RA,RA-2,NON_COMPLIANT,HIGH,8.7017,RA-2,"The production service has been operating for five months with a provisional impact categorization that was never formally approved, indicating a significant deficiency in the required security categorization process as outlined in RA-2.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","The organization should complete the formal security categorization process, including obtaining the necessary approvals and documenting the categorization results in the security plan."
BLIND-079,blind_079_ra_ra_5.json,RA,RA-5,NON_COMPLIANT,CRITICAL,14.2898,RA-5,"The Internet-facing production gateway is running a software version with a published remote-code-execution vulnerability. Internal testing confirmed unauthenticated code execution against the deployed version, and there are no active mitigations in place, indicating a major deficiency in vulnerability management.

Deterministic severity rule R4 was triggered by: internet-facing known exploitable critical vulnerability without mitigation.","Immediate patching of the vulnerable software version is required, along with the implementation of compensating controls such as a web application firewall or network restrictions until the patch can be applied."
BLIND-080,blind_080_ra_ra_5.json,RA,RA-5,NON_COMPLIANT,CRITICAL,6.3956,RA-5,"A severe deserialization flaw was identified on the public claims API, which remains publicly reachable and has not been mitigated. This indicates a major deficiency in vulnerability management and exposes the system to direct public access with a known exploitable vulnerability.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource; internet-facing known exploitable critical vulnerability without mitigation.",Immediate deployment of mitigation changes is required to address the identified deserialization flaw and to ensure that the public claims API is secured against unauthorized access.
BLIND-081,blind_081_sa_sa_4.json,SA,SA-4,COMPLIANT,LOW,6.7676,,"The contract for the managed database service includes security and privacy requirements, incident notification, vulnerability remediation, data-location restrictions, evidence access, subcontractor obligations, and service termination requirements. The security office approved the final terms before service activation, affirmatively supporting the requirements of SA-4.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-082,blind_082_sa_sa_5.json,SA,SA-5,PARTIALLY_COMPLIANT,MODERATE,9.3085,SA-5,"Administrator, operator, and recovery documentation is maintained in a controlled repository. However, the network troubleshooting section references an outdated monitoring dashboard, indicating a deficiency in documentation accuracy. The current dashboard link is available in the operations runbook, which mitigates some concerns, but the outdated reference suggests a bounded deficiency in documentation maintenance.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Update the network troubleshooting section to reflect the current monitoring dashboard and ensure all documentation is accurate and up-to-date.
BLIND-083,blind_083_sa_sa_3.json,SA,SA-3,NON_COMPLIANT,HIGH,6.9616,SA-3,"The new production microservice was released through an emergency path that bypassed the required threat model and security test gates, indicating a significant deficiency in the system development life cycle processes mandated by SA-3.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","To address the major deficiency, it is essential to complete the required threat modeling and security testing for the microservice, ensuring that all security lifecycle activities are properly documented and executed."
BLIND-084,blind_084_sa_sa_4.json,SA,SA-4,NON_COMPLIANT,CRITICAL,8.9139,SA-4,"The contract with the new supplier lacks required security and privacy clauses, and a production file containing sensitive applicant identifiers and financial information was placed in a publicly readable cloud bucket, indicating a direct public sensitive resource exposure.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.",The organization should update the supplier contract to include necessary security and privacy clauses and ensure that sensitive data is not placed in publicly accessible locations.
BLIND-085,blind_085_sa_sa_9.json,SA,SA-9,COMPLIANT,LOW,6.6529,,"The external notification provider is covered by an approved service agreement, defined security requirements, annual evidence review, incident-notification obligations, and a documented exit process. The latest review was completed and no open high-severity findings remain, supporting compliance with SA-9.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-086,blind_086_sc_sc_8.json,SC,SC-8,COMPLIANT,LOW,6.9631,,"All production service-to-service traffic uses TLS 1.3 with mutual certificate authentication, certificates are issued by the enterprise CA, validation is enforced, and no unencrypted application payload was found in packet captures. This supports compliance with SC-8 as confidentiality and integrity of transmitted information are protected.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-087,blind_087_sc_sc_13.json,SC,SC-13,COMPLIANT,LOW,8.2981,,"The system uses approved cryptographic libraries for production data, and the isolated legacy service uses an older approved algorithm for operational metadata only, which cannot receive customer records and is limited to its application subnet. This supports compliance with SC-13 without any material deficiencies.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-088,blind_088_sc_sc_28.json,SC,SC-28,NON_COMPLIANT,HIGH,6.3472,SC-28,"The production analytics database containing sensitive case information is stored on volumes without at-rest encryption, indicating a major deficiency in the protection of information at rest.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Implement at-rest encryption for the analytics database to comply with SC-28.
BLIND-089,blind_089_sc_sc_8.json,SC,SC-8,NON_COMPLIANT,CRITICAL,6.471,SC-8,"The production web tier sends bearer session tokens to an external troubleshooting collector using HTTP, exposing the Authorization header in plaintext. This indicates a failure to protect the confidentiality and integrity of transmitted information as required by SC-8.

Deterministic severity rule R4 was triggered by: active plaintext transmission of sensitive data or credentials.",Implement secure transmission protocols such as HTTPS to encrypt the bearer session tokens during transmission to protect their confidentiality and integrity.
BLIND-090,blind_090_sc_sc_23.json,SC,SC-23,PARTIALLY_COMPLIANT,MODERATE,7.7652,SC-23,"Session tokens are cryptographically signed and bound to the application domain, and revocation and MFA are active. However, the token-rotation change is three weeks late, resulting in a maximum token lifetime of 45 minutes instead of the target of 30 minutes, indicating a bounded deficiency.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, the token rotation should be completed to align with the target of a 30-minute maximum token lifetime."
BLIND-091,blind_091_si_si_2.json,SI,SI-2,COMPLIANT,LOW,6.8645,,"Production assets are inventoried against vendor advisories daily, severe security fixes are tested and deployed within the documented timeline, and deployment status is verified. There are no overdue severe production flaws, indicating effective flaw remediation practices are in place.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-092,blind_092_si_si_4.json,SI,SI-4,PARTIALLY_COMPLIANT,MODERATE,7.0561,SI-4,"The system is actively monitoring telemetry from various sources, but a staffing shortage has caused delays in responding to low-severity alerts, which indicates a bounded deficiency in the monitoring process. High-severity alerts are still being addressed promptly, maintaining some level of operational effectiveness.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, it is recommended to increase staffing or resources to ensure timely triage of all alerts, including low-severity ones, to enhance overall monitoring effectiveness."
BLIND-093,blind_093_si_si_7.json,SI,SI-7,NON_COMPLIANT,CRITICAL,7.786,SI-7,"The build pipeline records artifact hashes, but there is no automated verification of release signatures before deployment. The manual comparison process does not fulfill the integrity verification requirement, indicating a major deficiency in the control.

Deterministic severity rule R4 was triggered by: integrity verification bypassed or tampered artifact running in production.","Implement automated integrity verification tools to ensure that release signatures are verified before deployment, thereby addressing the major deficiency in the integrity control."
BLIND-094,blind_094_si_si_7.json,SI,SI-7,NON_COMPLIANT,CRITICAL,7.8205,SI-7,"The integrity verification process was bypassed, allowing a mismatched package to run in production without validation of its source. This constitutes a major deficiency in the integrity control as the core requirement is materially ineffective in production.

Deterministic severity rule R4 was triggered by: integrity verification bypassed or tampered artifact running in production.",Immediate remediation is required to enforce integrity verification checks and validate package sources before deployment to production environments.
BLIND-095,blind_095_si_si_4.json,SI,SI-4,NON_COMPLIANT,HIGH,7.4244,SI-4,"Production database audit telemetry and cloud identity events have stopped reaching the monitoring platform after a collector migration six weeks ago, indicating a major deficiency in monitoring capabilities for privileged identity and database activity.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Immediate action is required to restore the monitoring of production database audit telemetry and cloud identity events to ensure compliance with SI-4.
BLIND-096,blind_096_sr_sr_2.json,SR,SR-2,COMPLIANT,LOW,6.2588,,"The organization maintains a supply-chain risk management plan that covers critical suppliers, component sourcing, provenance, supplier monitoring, incident response, and update cadence. The plan was reviewed this year and maps owners and required actions to the current supplier inventory, affirmatively supporting the requirements of SR-2.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-097,blind_097_sr_sr_6.json,SR,SR-6,PARTIALLY_COMPLIANT,MODERATE,7.8945,SR-6,"The reassessment of a low-risk office-software provider is 45 days overdue due to a delayed evidence package. However, the provider does not process regulated data or connect to production, and critical suppliers are current. This indicates a bounded deficiency related to the overdue reassessment.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, the overdue reassessment should be completed as soon as the evidence package is received to ensure compliance with the supplier assessment requirements."
BLIND-098,blind_098_sr_sr_4.json,SR,SR-4,NON_COMPLIANT,CRITICAL,7.019,SR-4,"The production library was obtained from an approved supplier, and its checksum matches the recorded value at build time. However, the supplier did not provide the required provenance attestation for that version, indicating a major deficiency in the provenance control.

Deterministic severity rule R4 was triggered by: integrity verification bypassed or tampered artifact running in production.",Obtain the required provenance attestation from the supplier for the deployed library version to ensure compliance with SR-4.
BLIND-099,blind_099_sr_sr_11.json,SR,SR-11,NON_COMPLIANT,CRITICAL,7.4057,SR-11,"A production dependency was retrieved from an unofficial mirror, the downloaded package hash differs from the approved release hash, and the package lacks a valid signature. This indicates a failure in integrity verification, as the component is currently loaded in the production service without proper validation.

Deterministic severity rule R4 was triggered by: integrity verification bypassed or tampered artifact running in production.","Implement strict policies to ensure that all dependencies are retrieved from approved sources only, and establish procedures for verifying the integrity and authenticity of components before deployment."
BLIND-100,blind_100_sr_sr_4.json,SR,SR-4,NON_COMPLIANT,CRITICAL,8.7101,SR-4|CM-2,"The firmware update was installed from an unapproved distribution channel and did not match the vendor-published digest, indicating a failure in maintaining valid provenance. The mismatched firmware is currently running in production, which constitutes a major deficiency in integrity verification.

Deterministic severity rule R4 was triggered by: integrity verification bypassed or tampered artifact running in production.","Immediate review and validation of the firmware integrity process is required. Implement strict controls to ensure that only approved firmware updates are installed, and conduct a thorough audit of the current firmware running on production appliances."
